node_id,degree,deg_centr,deg_centr_norm,closeness_centr,closeness_norm,EV_centr,EV_norm,vresult
0,4,0.4444444444444444,0.1111111111111111,0.5294117647058824,0.1002018296294671,0.3522089813920359,0.125448837826539,0.35220939681663505
1,4,0.4444444444444444,0.1111111111111111,0.5294117647058824,0.1002018296294671,0.3522089813920359,0.125448837826539,0.35220939681663505
2,3,0.3333333333333333,0.0833333333333333,0.5,0.0946350613167189,0.2858347353163241,0.1018078392384233,0.2858349913908718
3,6,0.6666666666666666,0.1666666666666666,0.6,0.1135620735800627,0.4810204881221004,0.1713285702345706,0.4810208582728087
4,3,0.3333333333333333,0.0833333333333333,0.5,0.0946350613167189,0.2858347353163241,0.1018078392384233,0.2858349913908718
5,5,0.5555555555555556,0.1388888888888889,0.6428571428571429,0.1216736502643529,0.3976910106255469,0.1416485033966392,0.39769063647016994
6,5,0.5555555555555556,0.1388888888888889,0.6428571428571429,0.1216736502643529,0.3976910106255469,0.1416485033966392,0.39769063647016994
7,3,0.3333333333333333,0.0833333333333333,0.6,0.1135620735800627,0.1958618517536038,0.069761542082013,0.19586058302781142
8,2,0.2222222222222222,0.0555555555555555,0.4285714285714285,0.0811157668429019,0.0480747750142029,0.0171231427162023,0.04807348502628254
9,1,0.1111111111111111,0.0277777777777777,0.3103448275862069,0.0587390035758945,0.0111640585758242,0.0039763840440107,0.011163255309775683
